ZIP CODE,STATE,MSA Name
210,NH,"Boston-Cambridge-Quincy, MA-NH MSA"
211,NH,"Boston-Cambridge-Quincy, MA-NH MSA"
212,NH,"Boston-Cambridge-Quincy, MA-NH MSA"
213,NH,"Boston-Cambridge-Quincy, MA-NH MSA"
214,NH,"Boston-Cambridge-Quincy, MA-NH MSA"
215,NH,"Boston-Cambridge-Quincy, MA-NH MSA"
501,NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"
544,NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"
601,PR,PR NONMETROPOLITAN AREA
602,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
603,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
604,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
605,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
606,PR,PR NONMETROPOLITAN AREA
610,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
611,PR,PR NONMETROPOLITAN AREA
612,PR,"San Juan-Caguas-Guaynabo, PR MSA"
613,PR,"San Juan-Caguas-Guaynabo, PR MSA"
614,PR,"San Juan-Caguas-Guaynabo, PR MSA"
616,PR,"San Juan-Caguas-Guaynabo, PR MSA"
617,PR,"San Juan-Caguas-Guaynabo, PR MSA"
622,PR,"San German-Cabo Rojo, PR MSA"
623,PR,"San German-Cabo Rojo, PR MSA"
624,PR,"Yauco, PR MSA"
627,PR,"San Juan-Caguas-Guaynabo, PR MSA"
631,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
636,PR,"San German-Cabo Rojo, PR MSA"
637,PR,"San German-Cabo Rojo, PR MSA"
638,PR,"San Juan-Caguas-Guaynabo, PR MSA"
641,PR,PR NONMETROPOLITAN AREA
646,PR,"San Juan-Caguas-Guaynabo, PR MSA"
647,PR,"Yauco, PR MSA"
650,PR,"San Juan-Caguas-Guaynabo, PR MSA"
652,PR,"San Juan-Caguas-Guaynabo, PR MSA"
653,PR,"Yauco, PR MSA"
656,PR,"Yauco, PR MSA"
659,PR,"San Juan-Caguas-Guaynabo, PR MSA"
660,PR,"Mayaguez, PR MSA"
662,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
664,PR,PR NONMETROPOLITAN AREA
667,PR,"San German-Cabo Rojo, PR MSA"
669,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
670,PR,PR NONMETROPOLITAN AREA
674,PR,"San Juan-Caguas-Guaynabo, PR MSA"
676,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
677,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
678,PR,"San Juan-Caguas-Guaynabo, PR MSA"
680,PR,"Mayaguez, PR MSA"
681,PR,"Mayaguez, PR MSA"
682,PR,"Mayaguez, PR MSA"
683,PR,"San German-Cabo Rojo, PR MSA"
685,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
687,PR,"San Juan-Caguas-Guaynabo, PR MSA"
688,PR,"San Juan-Caguas-Guaynabo, PR MSA"
690,PR,"Aguadilla-Isabela-San Sebastian, PR MSA"
692,PR,"San Juan-Caguas-Guaynabo, PR MSA"
693,PR,"San Juan-Caguas-Guaynabo, PR MSA"
694,PR,"San Juan-Caguas-Guaynabo, PR MSA"
698,PR,"Yauco, PR MSA"
703,PR,"San Juan-Caguas-Guaynabo, PR MSA"
704,PR,"Guayama, PR MSA"
705,PR,"San Juan-Caguas-Guaynabo, PR MSA"
707,PR,"San Juan-Caguas-Guaynabo, PR MSA"
714,PR,"Guayama, PR MSA"
715,PR,"Ponce, PR MSA"
716,PR,"Ponce, PR MSA"
717,PR,"Ponce, PR MSA"
718,PR,"San Juan-Caguas-Guaynabo, PR MSA"
719,PR,"San Juan-Caguas-Guaynabo, PR MSA"
720,PR,"San Juan-Caguas-Guaynabo, PR MSA"
721,PR,"San Juan-Caguas-Guaynabo, PR MSA"
723,PR,"Guayama, PR MSA"
725,PR,"San Juan-Caguas-Guaynabo, PR MSA"
726,PR,"San Juan-Caguas-Guaynabo, PR MSA"
727,PR,"San Juan-Caguas-Guaynabo, PR MSA"
728,PR,"Ponce, PR MSA"
729,PR,"San Juan-Caguas-Guaynabo, PR MSA"
730,PR,"Ponce, PR MSA"
731,PR,"Ponce, PR MSA"
732,PR,"Ponce, PR MSA"
733,PR,"Ponce, PR MSA"
734,PR,"Ponce, PR MSA"
