Purchaser State,Purchaser City,Purchaser Zip,Booking Window,# of Guest Days
He,UK,0,15+ Days,36
Unknown,SYDNEY,0,08-14 Days,6
Alberta,"MEXICO CITY,  MEXICO",1000,15+ Days,15
Massachusetts,GRANBY,1033,15+ Days,6
Massachusetts,MONSON,1057,15+ Days,1
Massachusetts,NORTHAMPTON,1060,08-14 Days,3
Massachusetts,WARE,1082,15+ Days,1
Massachusetts,WESTFIELD,1085,15+ Days,1
Massachusetts,LONGMEADOW,1106,04-7 Days,3
Massachusetts,GLENDALE,1229,15+ Days,4
Massachusetts,GREAT BARRINGTON,1230,02 Days,1
Massachusetts,FITCHBURG,1420,15+ Days,4
Massachusetts,LEOMINSTER,1453,03 Days,3
Massachusetts,PEPPERELL,1463,02 Days,9
Massachusetts,CLINTON,1510,04-7 Days,1
Massachusetts,LANCASTER,1523,04-7 Days,3
Massachusetts,NORTHBORO,1532,04-7 Days,2
Massachusetts,SHREWSBURY,1545,08-14 Days,6
Massachusetts,SHREWSBURY,1545,15+ Days,3
Massachusetts,STERLING,1564,03 Days,2
Massachusetts,WEST BOYLSTON,1583,02 Days,1
Massachusetts,WEST BOYLSTON,1583,04-7 Days,3
Massachusetts,FRAMINGHAM,1701,04-7 Days,2
Massachusetts,ACTON,1720,08-14 Days,1
Massachusetts,CONCORD,1742,04-7 Days,4
Massachusetts,CONCORD,1742,15+ Days,6
Massachusetts,HOPKINTON,1748,04-7 Days,2
Massachusetts,MARLBOROUGH,1752,08-14 Days,3
Massachusetts,MENDON,1756,08-14 Days,6
Massachusetts,MENDON,1756,15+ Days,6
Massachusetts,LINCOLN,1773,03 Days,3
Massachusetts,LINCOLN,1773,04-7 Days,9
Massachusetts,STOW,1775,08-14 Days,6
Massachusetts,STOW,1775,15+ Days,6
Massachusetts,SUDBURY,1776,15+ Days,5
Massachusetts,WAYLAND,1778,02 Days,6
Massachusetts,HAVERHILL,1830,15+ Days,1
Massachusetts,GEORGETOWN,1833,08-14 Days,15
Massachusetts,METHUEN,1844,02 Days,3
Massachusetts,NORTH ANDOVER,1845,15+ Days,2
Massachusetts,TYNGSBORO,1879,15+ Days,6
Massachusetts,WAKEFIELD,1880,02 Days,2
Massachusetts,WESTFORD ,1886,04-7 Days,2
Massachusetts,SWAMPSCOTT,1907,02 Days,5
Massachusetts,SWAMPSCOTT,1907,04-7 Days,6
Massachusetts,BEVERLY,1915,04-7 Days,3
Massachusetts,BEVERLY,1915,15+ Days,6
Massachusetts,GLOUCESTER,1930,03 Days,1
Massachusetts,GLOUCESTER,1930,04-7 Days,1
Massachusetts,GLOUCESTER,1930,15+ Days,2
Massachusetts,MANCHESTER,1944,04-7 Days,4
Massachusetts,MANCHESTER,1944,08-14 Days,4
Massachusetts,PEABODY,1960,15+ Days,3
Massachusetts,SALEM,1970,02 Days,1
Massachusetts,SALEM,1970,03 Days,1
Massachusetts,SALEM,1970,15+ Days,4
Massachusetts,WENHAM,1984,04-7 Days,4
Massachusetts,WEST NEWBURY,1985,15+ Days,4
Massachusetts,"COHASSET,",2025,04-7 Days,9
Massachusetts,DEDHAM,2026,15+ Days,3
Massachusetts,EAST WALPOLE,2032,04-7 Days,2
Massachusetts,FOXBORO,2035,15+ Days,3
Massachusetts,FRANKLIN,2038,15+ Days,9
Massachusetts,MANSFIELD,2048,15+ Days,3
Massachusetts,NORFOLK,2056,15+ Days,3
Massachusetts,NORWELL,2061,03 Days,1
Massachusetts,SCITUATE ,2066,02 Days,2
Massachusetts,SHARON,2067,03 Days,1
Massachusetts,WALPOLE,2081,08-14 Days,2
Massachusetts,BOSTON,2108,03 Days,1
Massachusetts,BOSTON,2109,15+ Days,6
Massachusetts,BOSTON,2110,03 Days,1
Massachusetts,BOSTON,2110,15+ Days,3
Massachusetts,BOSTON,2111,15+ Days,2
Massachusetts,BOSTON,2114,04-7 Days,5
Massachusetts,BOSTON,2114,15+ Days,2
Massachusetts,BOSTON,2115,02 Days,3
Massachusetts,BOSTON,2115,15+ Days,35
Massachusetts,BOSTON,2116,03 Days,1
Massachusetts,BOSTON,2118,02 Days,12
Massachusetts,BOSTON,2118,04-7 Days,2
NSW,EPPING,2121,04-7 Days,18
Massachusetts,BOSTON,2124,15+ Days,6
Massachusetts,DORCHESTER,2124,15+ Days,6
Massachusetts,BOSTON,2125,15+ Days,3
Massachusetts,SOUTH BOSTON,2127,02 Days,5
Massachusetts,SOUTH BOSTON,2127,04-7 Days,6
Massachusetts,SOUTH BOSTON,2127,08-14 Days,2
Massachusetts,SOUTH BOSTON,2127,15+ Days,3
Massachusetts,BOSTON,2128,15+ Days,3
Massachusetts,CHARLESTOWN,2129,03 Days,1
Massachusetts,CHARLESTOWN,2129,08-14 Days,4
Massachusetts,CHARLESTOWN,2129,15+ Days,2
Massachusetts,BOSTON,2130,04-7 Days,16
Massachusetts,JAMAICA PLAIN,2130,08-14 Days,3
Massachusetts,ROSLINDALE,2131,02 Days,1
Massachusetts,ROSLINDALE,2131,03 Days,1
Massachusetts,WEST ROXBURY,2132,02 Days,2
Massachusetts,WEST ROXBURY,2132,08-14 Days,3
Massachusetts,BRIGHTON,2135,15+ Days,3
Massachusetts,CAMBRIDGE,2138,15+ Days,16
Massachusetts,CAMBRIDGE,2139,03 Days,12
Massachusetts,CAMBRIDGE,2139,08-14 Days,8
Massachusetts,CAMBRIDGE,2139,15+ Days,7
Massachusetts,CAMBRIDGE,2141,08-14 Days,1
Massachusetts,CAMBRIDGE,2141,15+ Days,3
Massachusetts,SOMERVILLE,2143,15+ Days,6
Massachusetts,SOMERVILLE,2144,02 Days,1
Massachusetts,SOMERVILLE,2144,15+ Days,10
Massachusetts,SOMERVILLE,2145,15+ Days,1
Massachusetts,MEDFORD,2155,15+ Days,2
Massachusetts,BOSTON,2163,08-14 Days,4
Massachusetts,QUINCY,2171,15+ Days,7
Massachusetts,BRAINTREE,2184,15+ Days,6
Massachusetts,BOSTON,2215,08-14 Days,2
Massachusetts,DUXBURY,2332,02 Days,3
Massachusetts,DUXBURY,2332,08-14 Days,3
Massachusetts,HANOVER,2339,15+ Days,3
Massachusetts,PEMBROKE,2359,08-14 Days,6
Massachusetts,PEMBROKE,2359,15+ Days,15
