"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA","20,153,634"
"Los Angeles-Long Beach-Santa Ana, CA MSA","13,310,447"
"Chicago-Naperville-Joliet, IL-IN-WI MSA","9,512,999"
"Dallas-Fort Worth-Arlington, TX MSA","7,233,323"
"Houston-Sugar Land-Baytown, TX MSA","6,772,470"
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","6,131,977"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","6,070,500"
"Miami-Fort Lauderdale-Pompano Beach, FL MSA","6,066,387"
"Atlanta-Sandy Springs-Marietta, GA MSA","5,789,700"
"Boston-Cambridge-Quincy, MA-NH MSA","4,794,447"
"San Francisco-Oakland-Fremont, CA MSA","4,679,166"
"Phoenix-Mesa-Scottsdale, AZ MSA","4,661,537"
"Riverside-San Bernardino-Ontario, CA MSA","4,527,837"
"Detroit-Warren-Livonia, MI MSA","4,297,617"
"Seattle-Tacoma-Bellevue, WA MSA","3,798,902"
"Minneapolis-St. Paul-Bloomington, MN-WI MSA","3,551,036"
"San Diego-Carlsbad-San Marcos, CA MSA","3,317,749"
"Tampa-St. Petersburg-Clearwater, FL","3,032,171"
"Denver-Aurora, CO MSA","2,853,077"
"St. Louis, MO-IL MSA","2,807,002"
"Baltimore-Towson, MD MSA","2,798,886"
"Charlotte-Gastonia-Concord, NC-SC MSA","2,474,314"
"Orlando-Kissimmee, FL MSA","2,441,257"
"San Antonio, TX MSA","2,429,609"
"Portland-Vancouver-Beaverton, OR-WA MSA","2,424,955"
"Pittsburgh, PA MSA","2,342,299"
"Sacramento-Arden-Arcade-Roseville, CA MSA","2,296,418"
"Cincinnati-Middletown, OH-KY-IN MSA","2,165,139"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area","2,155,664"
"Kansas City, MO-KS Metropolitan Statistical Area","2,104,509"
"Austin-Round Rock, TX MSA","2,056,405"
"Cleveland-Elyria, OH Metropolitan Statistical Area","2,055,612"
"Columbus, OH Metropolitan Statistical Area","2,041,520"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","2,004,230"
"San Jose-Sunnyvale-Santa Clara, CA MSA","1,978,816"
"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","1,865,298"
"Virginia Beach-Norfolk-Newport News, VA-NC MSA","1,726,907"
"Providence-Warwick, RI-MA Metropolitan Statistical Area","1,614,750"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","1,572,482"
"Jacksonville, FL Metropolitan Statistical Area","1,478,212"
"Oklahoma City, OK Metropolitan Statistical Area","1,373,211"
"Memphis, TN-MS-AR Metropolitan Statistical Area","1,342,842"
"Raleigh, NC Metropolitan Statistical Area","1,302,946"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","1,283,430"
"Richmond, VA Metropolitan Statistical Area","1,281,708"
"New Orleans-Metairie, LA Metropolitan Statistical Area","1,268,883"
"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","1,206,836"
"Salt Lake City, UT Metropolitan Statistical Area","1,186,187"
"Birmingham-Hoover, AL Metropolitan Statistical Area","1,147,417"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","1,132,804"
"Rochester, NY Metropolitan Statistical Area","1,078,879"
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area","1,047,099"
"Tucson, AZ Metropolitan Statistical Area","1,016,206"
