Location,Value
10001,4
10002,4
10003,17
10005,10
10006,1
10007,5
10009,14
10010,11
10011,9
10012,8
10013,13
10014,14
10016,11
10017,8
10019,14
10021,3
10022,7
10023,6
10024,17
10025,10
10026,9
10027,4
10028,20
10029,3
10030,4
10032,1
10033,4
10036,4
10038,2
10044,3
10065,6
10069,6
10075,8
10116,9
10120,2
10128,6
10150,1
10167,2
10168,8
10280,11
10282,8
10301,2
10305,1
10312,14
10314,2
10453,1
10458,1
10463,4
10465,4
10471,6
10504,9
10509,9
10510,3
10514,15
10522,6
10530,4
10533,5
10536,11
10538,4
10543,2
10549,3
10573,2
10577,9
10580,4
10583,5
10590,6
10591,6
10604,1
10605,8
10804,3
10901,3
10920,1
10940,2
10952,12
10989,6
10994,6
11000,15
11001,5
11004,3
11020,2
11021,2
11024,6
11040,7
11050,2
11101,4
11102,1
11103,4
11104,3
11105,7
11109,3
11201,7
11204,2
11209,5
11211,2
11215,7
11216,5
11217,3
11218,2
11219,3
11222,11
11223,2
11224,3
11225,2
11228,2
11229,10
11230,1
11231,5
11233,3
11235,2
11237,1
11238,3
11249,3
11354,6
11355,3
11358,1
11360,3
11361,2
11362,7
11366,2
11373,2
11374,9
11375,7
11378,1
11379,4
11385,3
11413,3
11415,1
11417,1
11418,6
11423,2
11426,12
11432,5
11435,2
11507,14
11542,6
11559,4
11561,2
11566,6
11570,11
11572,3
11576,1
11580,4
11598,3
11691,4
11697,2
11700,7
11706,2
11710,4
11722,6
11724,8
11725,4
11726,2
11730,3
11733,1
11735,8
11738,6
11740,5
11743,3
11746,8
11747,2
11749,2
11754,10
11755,12
11766,4
11768,24
11777,2
11780,4
11783,3
11787,6
11791,6
11796,6
11797,6
11801,2
11803,4
11910,5
11937,6
11940,4
11950,2
11955,3
11968,9
11977,12
12018,3
12054,9
12065,3
12180,6
12188,1
12210,3
12211,12
12301,9
12401,5
12474,2
12498,2
12521,3
12546,3
12561,1
12563,4
12572,2
12603,1
12831,3
12833,4
12839,4
12859,3
13057,3
